company_id,company_name,industry,city,country,employees,annual_revenue_million_usd
1,Company 001,Software,Hyderabad,India,67,4.7
2,Company 002,Finance,Bengaluru,India,84,8.4
3,Company 003,Healthcare,Mumbai,India,101,12.1
4,Company 004,Retail,Chennai,India,118,15.8
5,Company 005,Manufacturing,Pune,India,135,19.5
6,Company 006,Telecom,Delhi,India,152,23.2
7,Company 007,Energy,Kolkata,India,169,26.9
8,Company 008,Logistics,Ahmedabad,India,186,30.6
9,Company 009,Software,Hyderabad,India,203,34.3
10,Company 010,Finance,Bengaluru,India,220,38.0
11,Company 011,Healthcare,Mumbai,India,237,41.7
12,Company 012,Retail,Chennai,India,254,45.4
13,Company 013,Manufacturing,Pune,India,271,49.1
14,Company 014,Telecom,Delhi,India,288,52.8
15,Company 015,Energy,Kolkata,India,305,56.5
16,Company 016,Logistics,Ahmedabad,India,322,60.2
17,Company 017,Software,Hyderabad,India,339,63.9
18,Company 018,Finance,Bengaluru,India,356,67.6
19,Company 019,Healthcare,Mumbai,India,373,71.3
20,Company 020,Retail,Chennai,India,390,75.0
21,Company 021,Manufacturing,Pune,India,407,78.7
22,Company 022,Telecom,Delhi,India,424,82.4
23,Company 023,Energy,Kolkata,India,441,86.1
24,Company 024,Logistics,Ahmedabad,India,458,89.8
25,Company 025,Software,Hyderabad,India,475,93.5
26,Company 026,Finance,Bengaluru,India,492,97.2
27,Company 027,Healthcare,Mumbai,India,509,100.9
28,Company 028,Retail,Chennai,India,526,104.6
29,Company 029,Manufacturing,Pune,India,543,108.3
30,Company 030,Telecom,Delhi,India,560,112.0
31,Company 031,Energy,Kolkata,India,577,115.7
32,Company 032,Logistics,Ahmedabad,India,594,119.4
33,Company 033,Software,Hyderabad,India,611,123.1
34,Company 034,Finance,Bengaluru,India,628,126.8
35,Company 035,Healthcare,Mumbai,India,645,130.5
36,Company 036,Retail,Chennai,India,662,134.2
37,Company 037,Manufacturing,Pune,India,679,137.9
38,Company 038,Telecom,Delhi,India,696,141.6
39,Company 039,Energy,Kolkata,India,713,145.3
40,Company 040,Logistics,Ahmedabad,India,730,149.0
41,Company 041,Software,Hyderabad,India,747,152.7
42,Company 042,Finance,Bengaluru,India,764,156.4
43,Company 043,Healthcare,Mumbai,India,781,160.1
44,Company 044,Retail,Chennai,India,798,163.8
45,Company 045,Manufacturing,Pune,India,815,167.5
46,Company 046,Telecom,Delhi,India,832,171.2
47,Company 047,Energy,Kolkata,India,849,174.9
48,Company 048,Logistics,Ahmedabad,India,866,178.6
49,Company 049,Software,Hyderabad,India,883,182.3
50,Company 050,Finance,Bengaluru,India,900,186.0
51,Company 051,Healthcare,Mumbai,India,917,189.7
52,Company 052,Retail,Chennai,India,934,193.4
53,Company 053,Manufacturing,Pune,India,951,197.1
54,Company 054,Telecom,Delhi,India,968,200.8
55,Company 055,Energy,Kolkata,India,985,204.5
56,Company 056,Logistics,Ahmedabad,India,1002,208.2
57,Company 057,Software,Hyderabad,India,1019,211.9
58,Company 058,Finance,Bengaluru,India,1036,215.6
59,Company 059,Healthcare,Mumbai,India,1053,219.3
60,Company 060,Retail,Chennai,India,1070,223.0
61,Company 061,Manufacturing,Pune,India,1087,226.7
62,Company 062,Telecom,Delhi,India,1104,230.4
63,Company 063,Energy,Kolkata,India,1121,234.1
64,Company 064,Logistics,Ahmedabad,India,1138,237.8
65,Company 065,Software,Hyderabad,India,1155,241.5
66,Company 066,Finance,Bengaluru,India,1172,245.2
67,Company 067,Healthcare,Mumbai,India,1189,248.9
68,Company 068,Retail,Chennai,India,1206,2.6
69,Company 069,Manufacturing,Pune,India,1223,6.3
70,Company 070,Telecom,Delhi,India,1240,10.0
71,Company 071,Energy,Kolkata,India,1257,13.7
72,Company 072,Logistics,Ahmedabad,India,1274,17.4
73,Company 073,Software,Hyderabad,India,1291,21.1
74,Company 074,Finance,Bengaluru,India,1308,24.8
75,Company 075,Healthcare,Mumbai,India,1325,28.5
76,Company 076,Retail,Chennai,India,1342,32.2
77,Company 077,Manufacturing,Pune,India,1359,35.9
78,Company 078,Telecom,Delhi,India,1376,39.6
79,Company 079,Energy,Kolkata,India,1393,43.3
80,Company 080,Logistics,Ahmedabad,India,1410,47.0
81,Company 081,Software,Hyderabad,India,1427,50.7
82,Company 082,Finance,Bengaluru,India,1444,54.4
83,Company 083,Healthcare,Mumbai,India,1461,58.1
84,Company 084,Retail,Chennai,India,1478,61.8
85,Company 085,Manufacturing,Pune,India,1495,65.5
86,Company 086,Telecom,Delhi,India,1512,69.2
87,Company 087,Energy,Kolkata,India,1529,72.9
88,Company 088,Logistics,Ahmedabad,India,1546,76.6
89,Company 089,Software,Hyderabad,India,1563,80.3
90,Company 090,Finance,Bengaluru,India,1580,84.0
91,Company 091,Healthcare,Mumbai,India,1597,87.7
92,Company 092,Retail,Chennai,India,1614,91.4
93,Company 093,Manufacturing,Pune,India,1631,95.1
94,Company 094,Telecom,Delhi,India,1648,98.8
95,Company 095,Energy,Kolkata,India,1665,102.5
96,Company 096,Logistics,Ahmedabad,India,1682,106.2
